date,open,high,low,close,price_change
2020-03-30,0.90675,0.91494,0.9055,0.90658,0.984695
2020-03-31,0.90677,0.91586,0.906,0.9069,0.0352975
2020-04-01,0.91316,0.92214,0.91216,0.91294,0.666005
2020-04-02,0.92218,0.92797,0.9209,0.92188,0.979254
2020-04-05,0.92522,0.92857,0.92299,0.92533,0.374235
2020-04-06,0.92576,0.92666,0.91547,0.9256,0.0291788
2020-04-07,0.91791,0.92321,0.91775,0.91784,-0.838375
2020-04-08,0.92071,0.92236,0.91378,0.9205,0.289811
2020-04-09,0.91525,0.91566,0.9129,0.91513,-0.583379
2020-04-12,0.9148,0.91797,0.9117,0.91469,-0.0480806
2020-04-13,0.91579,0.91611,0.91042,0.9155,0.0885546
2020-04-14,0.91055,0.92101,0.91,0.9103,-0.567996
2020-04-15,0.91711,0.92339,0.91678,0.917,0.736021
2020-04-16,0.9208,0.92484,0.918,0.92094,0.429662
2020-04-19,0.92028,0.92225,0.91768,0.92022,-0.078181
2020-04-20,0.92051,0.92439,0.91912,0.9204,0.0195605
2020-04-21,0.92103,0.92385,0.91885,0.92111,0.0771404
2020-04-22,0.92534,0.92951,0.92217,0.9251,0.433173
2020-04-23,0.92796,0.93217,0.92441,0.9279,0.30267
2020-04-26,0.9239,0.92488,0.92078,0.9239,-0.431081
2020-04-27,0.9236,0.92496,0.9183,0.9238,-0.0108237
2020-04-28,0.92316,0.92322,0.9196,0.9228,-0.108249
2020-04-29,0.9194,0.92288,0.91158,0.91935,-0.373862
2020-04-30,0.91368,0.91446,0.90775,0.91362,-0.623266
2020-05-03,0.91262,0.91732,0.91259,0.91244,-0.129157
2020-05-04,0.91705,0.92362,0.91564,0.91707,0.507431
2020-05-05,0.9225,0.92728,0.9221,0.92263,0.606279
2020-05-06,0.92588,0.92872,0.92458,0.92605,0.370679
2020-05-07,0.92277,0.92453,0.91968,0.92275,-0.356352
2020-05-10,0.9225,0.92556,0.9214,0.92255,-0.0216743
2020-05-11,0.92514,0.92718,0.91908,0.92512,0.278576
2020-05-12,0.92197,0.92324,0.91799,0.92193,-0.34482
2020-05-13,0.92405,0.92794,0.9238,0.9239,0.213682
2020-05-14,0.92539,0.92671,0.9217,0.92533,0.154779
2020-05-17,0.92426,0.92585,0.91636,0.9241,-0.132926
2020-05-18,0.9161,0.9172,0.91115,0.91616,-0.859214
2020-05-19,0.9149,0.91498,0.90917,0.9151,-0.1157
2020-05-20,0.9108,0.91412,0.90837,0.9105,-0.502677
2020-05-21,0.91304,0.9186,0.9128,0.913,0.274574
2020-05-24,0.91667,0.91979,0.9162,0.91678,0.41402
2020-05-25,0.91734,0.91757,0.90979,0.91718,0.043631
2020-05-26,0.9107,0.91436,0.90663,0.9106,-0.717416
2020-05-27,0.90783,0.90966,0.90319,0.9077,-0.318471
2020-05-28,0.90268,0.90331,0.89729,0.9026,-0.56186
2020-05-31,0.89972,0.90078,0.8967,0.8994,-0.354531
2020-06-01,0.89883,0.89963,0.8932,0.8988,-0.0667111
2020-06-02,0.894,0.89437,0.88889,0.8937,-0.567423
2020-06-03,0.8899,0.89318,0.88024,0.89,-0.414009
2020-06-04,0.88205,0.88608,0.87843,0.882,-0.898876
2020-06-07,0.8837,0.88735,0.88349,0.88343,0.162132
2020-06-08,0.88473,0.88939,0.88002,0.88452,0.123383
2020-06-09,0.88229,0.88229,0.87805,0.88244,-0.235156
2020-06-10,0.87961,0.88292,0.87718,0.87986,-0.292371
2020-06-11,0.88579,0.8901,0.88185,0.88589,0.685336
2020-06-14,0.88856,0.89057,0.88558,0.88873,0.320582
2020-06-15,0.88199,0.89034,0.88107,0.88201,-0.756135
2020-06-16,0.88771,0.89204,0.8852,0.88765,0.639449
2020-06-17,0.88958,0.89249,0.8879,0.88945,0.202783
2020-06-18,0.89228,0.89494,0.88865,0.89198,0.284445
2020-06-21,0.8945,0.89481,0.88749,0.89465,0.299334
2020-06-22,0.88675,0.89013,0.88114,0.88655,-0.905382
2020-06-23,0.88389,0.88811,0.8829,0.88399,-0.28876
2020-06-24,0.88878,0.89354,0.8881,0.88882,0.546386
2020-06-25,0.8912,0.89303,0.88976,0.8911,0.25652
2020-06-28,0.89094,0.89122,0.8858,0.8908,-0.0336663
2020-06-29,0.88912,0.89347,0.88797,0.88911,-0.189717
2020-06-30,0.89018,0.89372,0.88695,0.89,0.1001
2020-07-01,0.88862,0.89065,0.8847,0.88878,-0.137079
2020-07-02,0.8897,0.89118,0.8888,0.88985,0.12039
2020-07-05,0.88898,0.88898,0.8813,0.88911,-0.0831601
2020-07-06,0.88415,0.88807,0.8821,0.88395,-0.580356
2020-07-07,0.88709,0.88769,0.8814,0.8869,0.333729
2020-07-08,0.882,0.8859,0.8793,0.8819,-0.563761
2020-07-09,0.8858,0.88832,0.88302,0.8859,0.453566
2020-07-12,0.88427,0.8846,0.87947,0.88417,-0.195282
2020-07-13,0.88138,0.8829,0.87665,0.88141,-0.312157
2020-07-14,0.87636,0.87769,0.87313,0.87637,-0.571811
2020-07-15,0.87586,0.87877,0.8739,0.87587,-0.0570535
2020-07-16,0.87823,0.87882,0.874,0.8778,0.220352
2020-07-19,0.87416,0.87679,0.872,0.8739,-0.444293
2020-07-20,0.87278,0.87518,0.86972,0.8727,-0.137315
2020-07-21,0.86692,0.86892,0.862,0.867,-0.653145
2020-07-22,0.86455,0.86639,0.86027,0.8644,-0.299885
2020-07-23,0.86244,0.86343,0.8591,0.86236,-0.236002
2020-07-26,0.85818,0.85818,0.84893,0.85818,-0.484716
2020-07-27,0.84987,0.85463,0.8492,0.84967,-0.991633
2020-07-28,0.8532,0.85361,0.84897,0.85333,0.430755
2020-07-29,0.8484,0.85232,0.84693,0.84869,-0.543752
2020-07-30,0.8422,0.84727,0.83977,0.8423,-0.752925
2020-08-02,0.8486,0.8546,0.84835,0.84873,0.763386
2020-08-03,0.8503,0.85294,0.8471,0.8501,0.161418
2020-08-04,0.84639,0.84746,0.83996,0.84635,-0.441125
2020-08-05,0.8422,0.84597,0.8395,0.84226,-0.483252
2020-08-06,0.8421,0.85059,0.8415,0.842,-0.0308693
2020-08-09,0.84872,0.85157,0.84731,0.8487,0.795724
2020-08-10,0.85196,0.85301,0.8471,0.85195,0.382939
